id,IDF,D,A,V,Rule,Param_dim,Param_type,Param_unit,Param_minmax
0,Switch_I1,light 1,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
1,Switch_I2,light 2,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
2,Switch_I3,light 3,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
3,Switch_I4,light 4,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
4,Switch_I5,fan 1,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
5,Switch_I6,fan 2,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
6,Switch_I7,window,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
7,Switch_I8,curtain,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
8,Switch_I9,door,"{'open':1, 'close':0}",,1,1,int,None,"[0,1]"
9,Luminance_I1,light 1,brightness,"{'bright':10, 'dark':0}",2,1,int,None,"[0,10]"
10,Luminance_I2,light 2,brightness,"{'bright':10, 'dark':0}",2,1,int,None,"[0,10]"
11,Luminance_I3,light 3,brightness,"{'bright':10, 'dark':0}",2,1,int,None,"[0,10]"
12,ColorTemperature_I1,light 3,color temperature,"{'cold':10, 'warm':0}",2,1,int,None,"[0,10]"
13,Speed_I1,fan 1,speed,"{'high':10, 'low':0}",2,1,int,None,"[0,10]"
14,Speed_I2,fan 2,speed,"{'high':10, 'low':0}",2,1,int,None,"[0,10]"
