Regaddr,device_name,device_feature,dim,rule,value_dict
20220501sp2,spotlight,Switch1,0,1,"{'open':1, 'close':0}"
20220501sp3,indirect light,Switch1,1,1,"{'open':1, 'close':0}"
20220501trilight,triangle light,Switch1,1,1,"{'open':1, 'close':0}"
20220501trilight,triangle light,Luminance-I,1,2,"{'bright':9,'dark':2}"
20220501CHTLED,CHT LED,Switch1,1,1,"{'open':1, 'close':0}"
20220501CHTLED,CHT LED,Luminance-I,1,2,"{'bright':9,'dark':1}"
20220501CAGLED,CAG LED,Switch1,1,1,"{'open':1, 'close':0}"
20220501CAGLED,CAG LED,Luminance-I,1,2,
20220501CAGLED,CAG LED,ColorTemperature-I,1,2,
20220501Tatungfan,tatung fan,Switch1,1,1,"{'open':1, 'close':0}"
20220501Tatungfan,tatung fan,Fanspeed-I,1,2,"{'high':5,'low':1}"
20220501Chimeifan,chimei fan,Switch1,1,1,"{'open':1, 'close':0}"
20220501Chimeifan,chimei fan,Fanspeed-I,1,2,"{'high':8,'low':1}"
20220501curtain1,curtain1,Switch1,1,1,"{'open':1, 'close':0}"
20220501curtain2,curtain2,Switch1,1,1,"{'open':1, 'close':0}"
20220501curtain3,curtain3,Switch1,1,1,"{'open':1, 'close':0}"
20220501window,window,Switch1,1,1,"{'open':1, 'close':0}"
20220501airpurifier,Tatung airpurifier,Switch1,1,1,"{'open':1, 'close':0}"
20220501roboticarm,robotic arm,Rotation-I,1,1,[]
20220501door,door,Switch1,1,1,"{'open':1, 'close':0}"
20220501dummy,dummy1,Switch1,1,1,"{'open':1, 'close':0}"
20220501dummy,dummy1,Timer,1,2,[]
20220501dummy,dummy1,Temperature-I,1,2,[]
20220501dummy,dummy1,Color-I,3,2,"{'red':[255,0,0], 'blue':[0,0,255], 'pink':[255,192,203]}"
20220501dummy2,dummy2,Switch1,1,1,"{'open':1, 'close':0}"
20220501dummy2,dummy2,Place-I,1,2,{}
20220501dummy2,dummy2,Timer,1,2,[]
20220501dummy2,dummy2,Color-I,3,2,"{'red':[255,0,0], 'blue':[0,0,255]}"
20220501dummy2,dummy2,Special-I,3,2,"{'red':[255,0,0], 'blue':[0,0,255]}"
